2024-04-06 19:06:57.268 [restartedMain] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@22338c3e, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@c7abce0, org.springframework.security.web.context.SecurityContextHolderFilter@f093895, org.springframework.security.web.header.HeaderWriterFilter@38f14ae3, org.springframework.security.web.authentication.logout.LogoutFilter@76fc7f18, com.phoenixhell.authbackend.filter.JwtTokenFilter@6e022ccc, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@738b5ef5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@481f1247, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3d759a72, org.springframework.security.web.session.SessionManagementFilter@119d4922, org.springframework.security.web.access.ExceptionTranslationFilter@6981403c, org.springframework.security.web.access.intercept.AuthorizationFilter@90b2ef5]
2024-04-06 19:06:57.389 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-04-06 19:06:57.439 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-04-06 19:06:57.450 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/api'
2024-04-06 19:06:57.456 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Started AuthBackendApplication in 1.778 seconds (process running for 2.204)
2024-04-06 19:07:03.000 [http-nio-8080-exec-1] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-04-06 19:07:03.000 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-04-06 19:07:03.001 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-04-06 19:07:03.152 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2024-04-06 19:07:03.310 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@2c81422a
2024-04-06 19:07:03.312 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2024-04-06 19:11:10.955 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-04-06 19:11:10.958 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-04-06 19:11:14.253 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-04-06 19:11:14.271 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - Starting AuthBackendApplication using Java 19.0.1 with PID 27944 (D:\code\auth-backend\target\classes started by phoen in D:\code\auth-backend)
2024-04-06 19:11:14.272 [restartedMain] INFO  c.phoenixhell.authbackend.AuthBackendApplication - The following 1 profile is active: "dev"
2024-04-06 19:11:14.300 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-04-06 19:11:14.300 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-04-06 19:11:14.753 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-04-06 19:11:14.755 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2024-04-06 19:11:14.777 [restartedMain] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2024-04-06 19:11:15.118 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2024-04-06 19:11:15.126 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
